time,direction,bytes,latency,bps,duration,serverTime,responseSize,loadedLatencies
1773571179149,download,100000,91.80000000447035,4318622.174277148,185.80000000447035,-1,100300,
1773571181878,download,100000,95.89999999850988,6587848.932837713,121.79999999701977,-1,100300,91.79999999701977
1773571182003,download,100000,95.39999999850988,7013986.014077375,114.39999999850988,-1,100300,
1773571182136,download,100000,104.59999999403954,6566284.779290946,122.19999999552965,-1,100300,87.09999999403954
1773571182263,download,100000,99,6887553.648068669,116.5,-1,100300,
1773571182414,download,100000,121.89999999850988,5706970.128264695,140.59999999403954,-1,100300,115.60000000149012
1773571182545,download,100000,100.89999999850988,6759898.905056606,118.69999999552965,-1,100300,85
1773571182673,download,100000,100.60000000149012,6823129.251614224,117.60000000149012,-1,100300,
1773571182853,download,100000,101.70000000298023,6765598.650842483,118.60000000149012,-1,100300,96.79999999701977
1773571182984,download,100000,99.89999999850988,6742857.142857143,119,-1,100300,
1773571183233,download,1000000,103.19999999552965,33751159.849013805,237.09999999403954,-1,1000300,97.59999999403954
1773571183417,download,1000000,105.39999999850988,46017251.294241354,173.89999999850988,-1,1000300,98.10000000149012
1773571183582,download,1000000,93.79999999701977,52234986.94415358,153.20000000298023,-1,1000300,92.19999999552965
1773571183744,download,1000000,97.5,53066312.998396225,150.79999999701977,-1,1000300,
1773571183891,download,1000000,97.90000000596046,58797942.68855536,136.10000000149012,-1,1000300,89.39999999850988
1773571184038,download,1000000,98.70000000298023,59058302.58302583,135.5,-1,1000300,98.40000000596046
1773571184177,download,1000000,91.79999999701977,62763921.56862745,127.5,-1,1000300,
1773571184311,download,1000000,95.79999999701977,65701149.42689495,121.79999999701977,-1,1000300,97.89999999850988
1773571184525,upload,100000,203.20000000298023,3771106.941785934,213.20000000298023,-1,381,96.89999999850988
1773571184639,upload,100000,101.89999999850988,7184986.595269941,111.89999999850988,-1,381,
1773571184728,upload,100000,77.59999999403954,9178082.192405315,87.59999999403954,-1,380,92.10000000149012
1773571184823,upload,100000,84,8553191.489361702,94,-1,380,
1773571184917,upload,100000,80.89999999850988,8844884.488593837,90.89999999850988,-1,380,136.39999999850988
1773571185011,upload,100000,81.5,8786885.245901639,91.5,-1,381,
1773571185213,upload,100000,190.29999999701977,4013979.0315125436,200.29999999701977,-1,376,96.20000000298023
1773571185346,upload,100000,122,6090909.09090909,132,-1,375,96.10000000149012
1773571187959,upload,1000000,426.3999999985099,18423464.711336967,436.3999999985099,-1,380,122.29999999701977 86.79999999701977
1773571188081,upload,1000000,108.79999999701977,67676767.67846543,118.79999999701977,-1,381,
1773571188222,upload,1000000,126.19999999552965,59030837.00634279,136.19999999552965,-1,381,99.89999999850988
1773571188327,upload,1000000,91.70000000298023,79056047.19532344,101.70000000298023,-1,381,90.60000000149012
1773571188433,upload,1000000,92.69999999552965,78286270.69474164,102.69999999552965,-1,381,
1773571188539,upload,1000000,92.89999999850988,78134110.78830348,102.89999999850988,-1,376,92.79999999701977
1773571189212,download,10000000,109.69999999552965,121069007.26446854,660.7999999970198,-1,10000300,98.70000000298023 88.89999999850988 88.5
1773571190122,download,10000000,130.59999999403954,89119304.89071894,897.6999999955297,-1,10000300,92.5 106.19999999552965 84.80000000447035 96.10000000149012 98.20000000298023
1773571191041,download,10000000,110.29999999701977,88156914.60055096,907.5,-1,10000300,95.39999999850988 104
1773571191857,download,10000000,110.20000000298023,99616984.18609335,803.1000000014901,-1,10000300,94.70000000298023
1773571192823,download,10000000,103.5,83842381.05258311,954.1999999955297,-1,10000300,93.20000000298023
1773571193678,download,10000000,95.69999999552965,94958338.27893175,842.5,-1,10000300,86.60000000149012 83.79999999701977 97.30000000447035
1773571194366,upload,10000000,657.4000000059605,120467485.76458187,667.4000000059605,-1,381,
1773571194772,upload,10000000,383.70000000298023,204216408.43127096,393.70000000298023,-1,381,107.20000000298023
1773571195110,upload,10000000,316.19999999552965,246474555.49080873,326.19999999552965,-1,376,
1773571195604,upload,10000000,472.80000000447035,166528583.26274967,482.80000000447035,-1,376,85.80000000447035
1773571197808,download,25000000,110.39999999850988,91312788.20265357,2190.2999999970198,-1,25000300,94 86.5 85.69999999552965 94.89999999850988 78.30000000447035 81.10000000149012 81.29999999701977
1773571199477,download,25000000,109.5,120840070.08629082,1655.1000000014901,-1,25000300,108.10000000149012 85.19999999552965 81.29999999701977 88 85.39999999850988 85.30000000447035 90.39999999850988 91.5
1773571200870,download,25000000,99.69999999552965,145023856.13868785,1379.0999999940395,-1,25000300,82.5 84.79999999701977 87.10000000149012 82.10000000149012 84.5 82.69999999552965 80.09999999403954
1773571202111,download,25000000,115.20000000298023,162868403.9087948,1228,-1,25000300,87 84.60000000149012 95.70000000298023 83.30000000447035 83.79999999701977 81.70000000298023
1773571203126,upload,25000000,976.5,203750633.552965,986.5,-1,376,95.5 105.19999999552965 102.29999999701977 101.5
1773571204451,upload,25000000,1289.3000000044703,154698683.90618673,1299.3000000044703,-1,375,201 103.10000000149012 101.90000000596046 91.70000000298023 94.29999999701977 102.70000000298023
1773571205203,upload,25000000,718.7999999970198,275795828.7607326,728.7999999970198,-1,381,90.69999999552965 109.70000000298023 111.79999999701977 107.19999999552965
1773571205913,upload,25000000,676.5,292789512.01747996,686.5,-1,376,106.30000000447035 208.59999999403954 102.59999999403954
1773571207293,upload,50000000,1312.8999999985099,303877844.130662,1322.8999999985099,-1,381,106.39999999850988 110.10000000149012 97.80000000447035 106.29999999701977 97.60000000149012 117.10000000149012
1773571208691,upload,50000000,1331.7999999970198,299597555.52309793,1341.7999999970198,-1,381,101.10000000149012 93.79999999701977 126.90000000596046 107.60000000149012 93.60000000149012 96.89999999850988
1773571210748,upload,50000000,1994.5999999940395,200538760.85064116,2004.5999999940395,-1,376,141.5 114 92.39999999850988 85.69999999552965 85.40000000596046 86.39999999850988